City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Course Description
114,Saint-Philippe,RE,2021-12-03 20:46:33,-21.3585,55.7679,78.35,85,16,9.4,few clouds
115,Noumea,NC,2021-12-03 20:46:34,-22.2763,166.4572,81.0,99,100,6.44,overcast clouds
116,Kralendijk,BQ,2021-12-03 20:46:34,12.15,-68.2667,84.18,74,40,16.11,scattered clouds
117,Hobyo,SO,2021-12-03 20:46:35,5.3505,48.5268,78.66,69,10,14.47,clear sky
118,Tura,IN,2021-12-03 20:46:35,25.5198,90.2201,62.46,87,94,2.8,overcast clouds
119,Isabela,PH,2021-12-03 20:46:36,6.7085,121.9711,79.29,85,92,8.14,overcast clouds
120,Tuktoyaktuk,CA,2021-12-03 20:46:36,69.4541,-133.0374,-18.4,69,75,13.8,broken clouds
121,Shingu,JP,2021-12-03 20:46:37,33.7333,135.9833,45.59,80,36,5.57,scattered clouds
122,Tilichiki,RU,2021-12-03 20:46:37,60.4667,166.1,21.2,76,53,17.92,broken clouds
123,Tual,ID,2021-12-03 20:46:38,-5.6667,132.75,83.28,72,100,3.24,overcast clouds
124,Sola,VU,2021-12-03 20:46:38,-13.8833,167.55,81.9,73,66,15.32,broken clouds
125,Mogadishu,SO,2021-12-03 20:46:39,2.0371,45.3438,79.79,74,4,15.46,clear sky
126,Kefalos,GR,2021-12-03 20:46:39,36.7453,26.9589,62.82,77,40,17.27,scattered clouds
127,Smithers,CA,2021-12-03 20:45:09,54.7804,-127.1743,28.72,80,75,6.91,light snow
128,Kaitangata,NZ,2021-12-03 20:46:40,-46.2817,169.8464,57.9,98,100,3.85,moderate rain
129,Ixtapa,MX,2021-12-03 20:46:41,20.7,-105.2,89.26,47,4,6.93,clear sky
130,Hithadhoo,MV,2021-12-03 20:46:41,-0.6,73.0833,81.34,78,8,10.33,clear sky
131,Dubai,AE,2021-12-03 20:42:49,25.2582,55.3047,76.21,64,20,5.75,few clouds
132,Vila Franca Do Campo,PT,2021-12-03 20:46:42,37.7167,-25.4333,63.19,74,23,2.66,few clouds
133,San Pedro,PH,2021-12-03 20:46:42,14.35,121.0167,75.09,78,20,3.44,few clouds
134,Howard Springs,AU,2021-12-03 20:46:43,-12.497,131.047,82.31,99,100,2.59,overcast clouds
135,Pevek,RU,2021-12-03 20:46:43,69.7008,170.3133,-2.94,89,100,20.85,overcast clouds
136,Mandawar,IN,2021-12-03 20:46:44,29.5,78.1333,60.55,75,0,4.85,clear sky
